2026-03-18 15:37:33 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 3084, season 2026
2026-03-18 15:37:34 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:34 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 45, season 2026
2026-03-18 15:37:35 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:36 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 45, season 2026
2026-03-18 15:37:36 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:37 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 45, season 2026
2026-03-18 15:37:38 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:38 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 3084, season 2026
2026-03-18 15:37:38 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 45, season 2026
2026-03-18 15:37:39 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 71, season 2026
2026-03-18 15:37:40 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:41 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 71, season 2026
2026-03-18 15:37:41 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:42 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 71, season 2026
2026-03-18 15:37:43 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:43 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2168, season 2026
2026-03-18 15:37:44 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:45 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2168, season 2026
2026-03-18 15:37:45 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:46 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2168, season 2026
2026-03-18 15:37:47 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:47 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 71, season 2026
2026-03-18 15:37:47 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2168, season 2026
2026-03-18 15:37:48 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 167, season 2026
